"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
1,36,"m","comb","n","cvncv","a","labial","nasal","ccv","kamba","kʰampa","no",0,0,0,39,"space",6.236841917,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
2,36,"m","comb","n","cvncv","a","labial","nasal","ccv","kamba","kʰampa","no",0,0,0,39,"space",3.070333004,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
3,36,"m","comb","n","cvncv","a","labial","nasal","ccv","kamba","kʰampa","no",0,0,0,39,"space",3.4207079411,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
4,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,1,1,36,"space",3.2368650436,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
5,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,1,1,36,"space",2.7533800602,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
6,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,1,1,36,"space",2.1536531448,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
7,54,"ʰp","arm","v","cvccv","o","labial","stop","ccv","vopna","voʰpna","yes",0,2,2,52,"space",2.8701620102,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
8,54,"ʰp","arm","v","cvccv","o","labial","stop","ccv","vopna","voʰpna","yes",0,2,2,52,"space",2.5864360333,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
9,54,"ʰp","arm","v","cvccv","o","labial","stop","ccv","vopna","voʰpna","yes",0,2,2,52,"space",2.71997118,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
10,46,"l̥","reticent","agg","cvlc","ʏ","coronal","lateral","cc","dult","tʏl̥t","yes",0,3,3,31,"space",2.4363889694,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
11,46,"l̥","reticent","agg","cvlc","ʏ","coronal","lateral","cc","dult","tʏl̥t","yes",0,3,3,31,"space",2.3364949226,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
12,46,"l̥","reticent","agg","cvlc","ʏ","coronal","lateral","cc","dult","tʏl̥t","yes",0,3,3,31,"space",2.1867070198,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
13,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,4,4,17,"space",2.9701960087,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
14,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,4,4,17,"space",2.4864871502,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
15,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,4,4,17,"space",2.5031659603,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
16,58,"ʰp","cable","n","cvccv","a","labial","stop","ccv","kapli","kaʰpli","yes",0,5,5,56,"space",2.8534059525,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
17,58,"ʰp","cable","n","cvccv","a","labial","stop","ccv","kapli","kaʰpli","yes",0,5,5,56,"space",2.2031471729,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
18,58,"ʰp","cable","n","cvccv","a","labial","stop","ccv","kapli","kaʰpli","yes",0,5,5,56,"space",2.4872908592,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
19,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,6,6,54,"space",2.3539998531,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
20,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,6,6,54,"space",2.2705528736,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
21,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,6,6,54,"space",2.052891016,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
22,35,"m̥","moustache","n","cvncv","a","labial","nasal","ccv","kampa","kʰam̥pa","yes",0,7,7,38,"space",2.3195688725,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
23,35,"m̥","moustache","n","cvncv","a","labial","nasal","ccv","kampa","kʰam̥pa","yes",0,7,7,38,"space",2.1029670239,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
24,35,"m̥","moustache","n","cvncv","a","labial","nasal","ccv","kampa","kʰam̥pa","yes",0,7,7,38,"space",2.2029099464,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
25,10,"tt","thaw","v","cvccv","i","coronal","stop","ccv","þíddi","θitti","no",0,8,8,32,"space",2.5532419682,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
26,10,"tt","thaw","v","cvccv","i","coronal","stop","ccv","þíddi","θitti","no",0,8,8,32,"space",2.353135109,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
27,10,"tt","thaw","v","cvccv","i","coronal","stop","ccv","þíddi","θitti","no",0,8,8,32,"space",1.9528470039,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
