"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
1,37,"m̥","hero","n","cvncv","e","labial","nasal","ccv","kempa","kʰem̥pa","yes",0,0,0,40,"space",6.8718919754,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
2,37,"m̥","hero","n","cvncv","e","labial","nasal","ccv","kempa","kʰem̥pa","yes",0,0,0,40,"space",5.054284811,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
3,37,"m̥","hero","n","cvncv","e","labial","nasal","ccv","kempa","kʰem̥pa","yes",0,0,0,40,"space",6.7719190121,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
4,2,"kk","beak","n","cvcc","o","velar","stop","cc","gogg","kokk","no",0,1,1,1,"space",5.0861639977,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
5,2,"kk","beak","n","cvcc","o","velar","stop","cc","gogg","kokk","no",0,1,1,1,"space",4.0039899349,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
6,2,"kk","beak","n","cvcc","o","velar","stop","cc","gogg","kokk","no",0,1,1,1,"space",4.68846488,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
7,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,2,2,10,"space",5.8716030121,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
8,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,2,2,10,"space",4.0354690552,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
9,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,2,2,10,"space",4.971585989,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
10,34,"m","comb","v","cvccv","e","labial","nasal","cc","kembdi","kemti","no",0,3,3,27,"space",6.3701779842,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
11,34,"m","comb","v","cvccv","e","labial","nasal","cc","kembdi","kemti","no",0,3,3,27,"space",4.6707429886,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
12,34,"m","comb","v","cvccv","e","labial","nasal","cc","kembdi","kemti","no",0,3,3,27,"space",5.7880949974,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
13,42,"n","do st carefully","v","cvncv","a","coronal","nasal","ccv","vanda","vanta","no",0,4,4,45,"space",5.5057330132,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
14,42,"n","do st carefully","v","cvncv","a","coronal","nasal","ccv","vanda","vanta","no",0,4,4,45,"space",4.3545429707,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
