cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant,
25,ʰk,key,n,cvccv,a,velar,stop,ccv,takka,tʰaʰka,yes,0,0,0,32,space,10.6408178806,,,2016_Jun_21_1140,None,icelandic,jr06,
25,ʰk,key,n,cvccv,a,velar,stop,ccv,takka,tʰaʰka,yes,0,0,0,32,space,5.0878610611,,,2016_Jun_21_1140,None,icelandic,jr06,
25,ʰk,key,n,cvccv,a,velar,stop,ccv,takka,tʰaʰka,yes,0,0,0,32,space,3.87158489227,,,2016_Jun_21_1140,None,icelandic,jr06,
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,1,1,23,space,3.57044410706,,,2016_Jun_21_1140,None,icelandic,jr06,
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,1,1,23,space,2.53500103951,,,2016_Jun_21_1140,None,icelandic,jr06,
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,1,1,23,space,3.52037191391,,,2016_Jun_21_1140,None,icelandic,jr06,
24,ʰt,wet,adj,cvvcc,o,coronal,stop,cc,vott,voʰt,yes,0,2,2,19,space,5.17121505737,,,2016_Jun_21_1140,None,icelandic,jr06,
24,ʰt,wet,adj,cvvcc,o,coronal,stop,cc,vott,voʰt,yes,0,2,2,19,space,3.85387921333,,,2016_Jun_21_1140,None,icelandic,jr06,
24,ʰt,wet,adj,cvvcc,o,coronal,stop,cc,vott,voʰt,yes,0,2,2,19,space,3.28687286377,,,2016_Jun_21_1140,None,icelandic,jr06,
1,ʰk,cook,n,cvcc,o,velar,stop,cc,kokk,kʰoʰk,yes,0,3,3,0,space,4.10244297981,,,2016_Jun_21_1140,None,icelandic,jr06,
1,ʰk,cook,n,cvcc,o,velar,stop,cc,kokk,kʰoʰk,yes,0,3,3,0,space,2.31995105743,,,2016_Jun_21_1140,None,icelandic,jr06,
1,ʰk,cook,n,cvcc,o,velar,stop,cc,kokk,kʰoʰk,yes,0,3,3,0,space,3.970484972,,,2016_Jun_21_1140,None,icelandic,jr06,
13,ʰt,push,v,vcc,i,coronal,stop,cc,ýtt,iʰt,yes,0,4,4,10,space,3.28804016113,,,2016_Jun_21_1140,None,icelandic,jr06,
13,ʰt,push,v,vcc,i,coronal,stop,cc,ýtt,iʰt,yes,0,4,4,10,space,2.33645701408,,,2016_Jun_21_1140,None,icelandic,jr06,
13,ʰt,push,v,vcc,i,coronal,stop,cc,ýtt,iʰt,yes,0,4,4,10,space,2.26987504959,,,2016_Jun_21_1140,None,icelandic,jr06,
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,5,5,9,space,3.220236063,,,2016_Jun_21_1140,None,icelandic,jr06,
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,5,5,9,space,2.80450320244,,,2016_Jun_21_1140,None,icelandic,jr06,
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,5,5,9,space,2.60317111015,,,2016_Jun_21_1140,None,icelandic,jr06,
43,t,smart,adj,cvcc,i,coronal,stop,cc,fínn,fitn̥,yes,0,6,6,26,space,2.52004408836,,,2016_Jun_21_1140,None,icelandic,jr06,
