"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
1,38,"m","comb","v","cvncv","e","labial","nasal","ccv","kemba","kʰempa","no",0,0,0,41,"space",4.9209661484,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
2,38,"m","comb","v","cvncv","e","labial","nasal","ccv","kemba","kʰempa","no",0,0,0,41,"space",3.6880209446,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
3,38,"m","comb","v","cvncv","e","labial","nasal","ccv","kemba","kʰempa","no",0,0,0,41,"space",2.6876761913,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
4,1,"ʰk","cook","n","cvcc","o","velar","stop","cc","kokk","kʰoʰk","yes",0,1,1,0,"space",3.1367981434,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
5,1,"ʰk","cook","n","cvcc","o","velar","stop","cc","kokk","kʰoʰk","yes",0,1,1,0,"space",2.019753933,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
6,1,"ʰk","cook","n","cvcc","o","velar","stop","cc","kokk","kʰoʰk","yes",0,1,1,0,"space",1.9680600166,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
7,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,2,2,17,"space",3.7038259506,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
8,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,2,2,17,"space",1.8862090111,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
9,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,2,2,17,"space",1.6694149971,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
10,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,3,3,36,"space",2.6864550114,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
