"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
1,14,"tt","sharpen","v","vcc","ɪ","coronal","stop","cc","ydd","ɪtt","no",0,0,0,11,"space",2.8046011925,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
2,14,"tt","sharpen","v","vcc","ɪ","coronal","stop","cc","ydd","ɪtt","no",0,0,0,11,"space",2.4199411869,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
3,14,"tt","sharpen","v","vcc","ɪ","coronal","stop","cc","ydd","ɪtt","no",0,0,0,11,"space",2.6541950703,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
4,45,"l","complex","agg","cvlc","ʏ","coronal","lateral","cc","duld","tʏlt","no",0,1,1,28,"space",2.5198521614,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
5,45,"l","complex","agg","cvlc","ʏ","coronal","lateral","cc","duld","tʏlt","no",0,1,1,28,"space",2.7540581226,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
6,45,"l","complex","agg","cvlc","ʏ","coronal","lateral","cc","duld","tʏlt","no",0,1,1,28,"space",2.3369951248,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
7,42,"n","do st carefully","v","cvncv","a","coronal","nasal","ccv","vanda","vanta","no",0,2,2,43,"space",2.7044010162,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
8,42,"n","do st carefully","v","cvncv","a","coronal","nasal","ccv","vanda","vanta","no",0,2,2,43,"space",2.6532609463,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
9,42,"n","do st carefully","v","cvncv","a","coronal","nasal","ccv","vanda","vanta","no",0,2,2,43,"space",2.5531909466,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
10,15,"ʰt","point","n","vvcc","ou","coronal","stop","cc","ótt","ouʰt","yes",0,3,3,12,"space",2.6700229645,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
11,15,"ʰt","point","n","vvcc","ou","coronal","stop","cc","ótt","ouʰt","yes",0,3,3,12,"space",2.2874670029,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
12,15,"ʰt","point","n","vvcc","ou","coronal","stop","cc","ótt","ouʰt","yes",0,3,3,12,"space",1.9699919224,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
13,31,"n̥","decoration","n","cvnc","ʏ","coronal","nasal","cc","punt","pʰʏn̥t","yes",0,4,4,22,"space",2.5366950035,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
14,31,"n̥","decoration","n","cvnc","ʏ","coronal","nasal","cc","punt","pʰʏn̥t","yes",0,4,4,22,"space",1.9361069202,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
15,31,"n̥","decoration","n","cvnc","ʏ","coronal","nasal","cc","punt","pʰʏn̥t","yes",0,4,4,22,"space",2.169739008,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
