cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
4,kk,dew,n,cvcc,œ,velar,stop,cc,dögg,tœkk,no,0,0,0,3,space,6.12171792984,2016_May_27_1115,59.8913352344,icelandic,tt01,
4,kk,dew,n,cvcc,œ,velar,stop,cc,dögg,tœkk,no,0,0,0,3,space,4.5713570118,2016_May_27_1115,59.8913352344,icelandic,tt01,
4,kk,dew,n,cvcc,œ,velar,stop,cc,dögg,tœkk,no,0,0,0,3,space,4.08781599998,2016_May_27_1115,59.8913352344,icelandic,tt01,
3,ʰk,dark,agg,cvcc,œ,velar,stop,cc,dökk,tœʰk,yes,0,1,1,2,space,3.58705186844,2016_May_27_1115,59.8913352344,icelandic,tt01,
3,ʰk,dark,agg,cvcc,œ,velar,stop,cc,dökk,tœʰk,yes,0,1,1,2,space,3.57070612907,2016_May_27_1115,59.8913352344,icelandic,tt01,
3,ʰk,dark,agg,cvcc,œ,velar,stop,cc,dökk,tœʰk,yes,0,1,1,2,space,3.30469703674,2016_May_27_1115,59.8913352344,icelandic,tt01,
44,nn,cheek,n,cvcc,i,coronal,nasal,cc,kinn,kʰɪnn,no,0,2,2,29,space,3.08774995804,2016_May_27_1115,59.8913352344,icelandic,tt01,
44,nn,cheek,n,cvcc,i,coronal,nasal,cc,kinn,kʰɪnn,no,0,2,2,29,space,2.85325717926,2016_May_27_1115,59.8913352344,icelandic,tt01,
44,nn,cheek,n,cvcc,i,coronal,nasal,cc,kinn,kʰɪnn,no,0,2,2,29,space,2.80481815338,2016_May_27_1115,59.8913352344,icelandic,tt01,
59,p,play chess,v,cvccv,e,labial,stop,ccv,tefla,tepla,no,0,3,3,57,space,2.68637490273,2016_May_27_1115,59.8913352344,icelandic,tt01,
59,p,play chess,v,cvccv,e,labial,stop,ccv,tefla,tepla,no,0,3,3,57,space,2.5366191864,2016_May_27_1115,59.8913352344,icelandic,tt01,
59,p,play chess,v,cvccv,e,labial,stop,ccv,tefla,tepla,no,0,3,3,57,space,2.45323395729,2016_May_27_1115,59.8913352344,icelandic,tt01,
16,tt,fast,adv,vcc,o,coronal,stop,cc,odd,ott,no,0,4,4,13,space,2.68711209297,2016_May_27_1115,59.8913352344,icelandic,tt01,
16,tt,fast,adv,vcc,o,coronal,stop,cc,odd,ott,no,0,4,4,13,space,2.68712592125,2016_May_27_1115,59.8913352344,icelandic,tt01,
16,tt,fast,adv,vcc,o,coronal,stop,cc,odd,ott,no,0,4,4,13,space,2.48649311066,2016_May_27_1115,59.8913352344,icelandic,tt01,
58,ʰp,cable,n,cvccv,a,labial,stop,ccv,kapli,kaʰpli,yes,0,5,5,56,space,2.7531671524,2016_May_27_1115,59.8913352344,icelandic,tt01,
58,ʰp,cable,n,cvccv,a,labial,stop,ccv,kapli,kaʰpli,yes,0,5,5,56,space,2.41970300674,2016_May_27_1115,59.8913352344,icelandic,tt01,
58,ʰp,cable,n,cvccv,a,labial,stop,ccv,kapli,kaʰpli,yes,0,5,5,56,space,2.51942801476,2016_May_27_1115,59.8913352344,icelandic,tt01,
23,s,wet,adj,cvvcc,o,coronal,stop,cc,vots,voss,no,0,6,6,20,space,2.56955909729,2016_May_27_1115,59.8913352344,icelandic,tt01,
23,s,wet,adj,cvvcc,o,coronal,stop,cc,vots,voss,no,0,6,6,20,space,2.33680796623,2016_May_27_1115,59.8913352344,icelandic,tt01,
23,s,wet,adj,cvvcc,o,coronal,stop,cc,vots,voss,no,0,6,6,20,space,2.48654508591,2016_May_27_1115,59.8913352344,icelandic,tt01,
10,tt,thaw,v,cvccv,i,coronal,stop,ccv,þíddi,θitt,no,0,7,7,32,space,2.65339398384,2016_May_27_1115,59.8913352344,icelandic,tt01,
10,tt,thaw,v,cvccv,i,coronal,stop,ccv,þíddi,θitt,no,0,7,7,32,space,2.18639111519,2016_May_27_1115,59.8913352344,icelandic,tt01,
10,tt,thaw,v,cvccv,i,coronal,stop,ccv,þíddi,θitt,no,0,7,7,32,space,2.51987504959,2016_May_27_1115,59.8913352344,icelandic,tt01,
14,tt,sharpen,v,vcc,ɪ,coronal,stop,cc,ydd,ɪtt,no,0,8,8,11,space,2.63678789139,2016_May_27_1115,59.8913352344,icelandic,tt01,
14,tt,sharpen,v,vcc,ɪ,coronal,stop,cc,ydd,ɪtt,no,0,8,8,11,space,2.2198331356,2016_May_27_1115,59.8913352344,icelandic,tt01,
14,tt,sharpen,v,vcc,ɪ,coronal,stop,cc,ydd,ɪtt,no,0,8,8,11,space,2.30315995216,2016_May_27_1115,59.8913352344,icelandic,tt01,
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,9,9,9,space,2.63612914085,2016_May_27_1115,59.8913352344,icelandic,tt01,
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,9,9,9,space,2.1361219883,2016_May_27_1115,59.8913352344,icelandic,tt01,
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,9,9,9,space,2.30261993408,2016_May_27_1115,59.8913352344,icelandic,tt01,
56,ʰp,munch,v,cvccv,a,labial,stop,ccv,japla,jaʰpla,yes,0,10,10,54,space,2.60403203964,2016_May_27_1115,59.8913352344,icelandic,tt01,
56,ʰp,munch,v,cvccv,a,labial,stop,ccv,japla,jaʰpla,yes,0,10,10,54,space,2.30307006836,2016_May_27_1115,59.8913352344,icelandic,tt01,
56,ʰp,munch,v,cvccv,a,labial,stop,ccv,japla,jaʰpla,yes,0,10,10,54,space,2.25147795677,2016_May_27_1115,59.8913352344,icelandic,tt01,
24,ʰt,wet,adj,cvvcc,o,coronal,stop,cc,vott,voʰt,yes,0,11,11,21,space,2.23464798927,2016_May_27_1115,59.8913352344,icelandic,tt01,
24,ʰt,wet,adj,cvvcc,o,coronal,stop,cc,vott,voʰt,yes,0,11,11,21,space,1.95290184021,2016_May_27_1115,59.8913352344,icelandic,tt01,
24,ʰt,wet,adj,cvvcc,o,coronal,stop,cc,vott,voʰt,yes,0,11,11,21,space,2.10358190536,2016_May_27_1115,59.8913352344,icelandic,tt01,
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,12,12,39,space,2.10341095924,2016_May_27_1115,59.8913352344,icelandic,tt01,
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,12,12,39,space,1.93623900414,2016_May_27_1115,59.8913352344,icelandic,tt01,
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,12,12,39,space,1.88630509377,2016_May_27_1115,59.8913352344,icelandic,tt01,
8,tt,width,n,cvcc,i,coronal,stop,cc,vídd,vitt,no,0,13,13,7,space,2.11987090111,2016_May_27_1115,59.8913352344,icelandic,tt01,
8,tt,width,n,cvcc,i,coronal,stop,cc,vídd,vitt,no,0,13,13,7,space,1.7527179718,2016_May_27_1115,59.8913352344,icelandic,tt01,
8,tt,width,n,cvcc,i,coronal,stop,cc,vídd,vitt,no,0,13,13,7,space,2.0016040802,2016_May_27_1115,59.8913352344,icelandic,tt01,
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,14,14,51,space,2.05297112465,2016_May_27_1115,59.8913352344,icelandic,tt01,
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,14,14,51,space,1.96966600418,2016_May_27_1115,59.8913352344,icelandic,tt01,
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,14,14,51,space,2.1363260746,2016_May_27_1115,59.8913352344,icelandic,tt01,
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,15,15,25,space,2.40377497673,2016_May_27_1115,59.8913352344,icelandic,tt01,
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,15,15,25,space,2.11942720413,2016_May_27_1115,59.8913352344,icelandic,tt01,
