cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant
22,ʰt,fat,adj,cvvcc,ei,coronal,stop,cc,feitt,feiʰt,yes,0,0,0,19,space,4.2709488869,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
22,ʰt,fat,adj,cvvcc,ei,coronal,stop,cc,feitt,feiʰt,yes,0,0,0,19,space,2.7203030586,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
22,ʰt,fat,adj,cvvcc,ei,coronal,stop,cc,feitt,feiʰt,yes,0,0,0,19,space,2.7867100239,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
31,n̥,decoration,n,cvnc,ʏ,coronal,nasal,cc,punt,pʰʏn̥t,yes,0,1,1,24,space,2.6867630482,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
31,n̥,decoration,n,cvnc,ʏ,coronal,nasal,cc,punt,pʰʏn̥t,yes,0,1,1,24,space,2.5364198685,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
31,n̥,decoration,n,cvnc,ʏ,coronal,nasal,cc,punt,pʰʏn̥t,yes,0,1,1,24,space,2.4866499901,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
51,l̥,milk,v,ccvvccv,ou,coronal,lateral,ccv,mjólka,mjoul̥ka,yes,0,2,2,49,space,2.5032138825,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
51,l̥,milk,v,ccvvccv,ou,coronal,lateral,ccv,mjólka,mjoul̥ka,yes,0,2,2,49,space,2.5199701786,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
51,l̥,milk,v,ccvvccv,ou,coronal,lateral,ccv,mjólka,mjoul̥ka,yes,0,2,2,49,space,2.4198482037,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
44,nn,cheek,n,cvcc,i,coronal,nasal,cc,kinn,kʰɪnn,no,0,3,3,29,space,2.4364981651,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
44,nn,cheek,n,cvcc,i,coronal,nasal,cc,kinn,kʰɪnn,no,0,3,3,29,space,2.5710430145,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
44,nn,cheek,n,cvcc,i,coronal,nasal,cc,kinn,kʰɪnn,no,0,3,3,29,space,2.6375770569,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
2,kk,beak,n,cvcc,o,velar,stop,cc,gogg,kokk,no,0,4,4,1,space,2.8374269009,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
2,kk,beak,n,cvcc,o,velar,stop,cc,gogg,kokk,no,0,4,4,1,space,2.6532268524,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
2,kk,beak,n,cvcc,o,velar,stop,cc,gogg,kokk,no,0,4,4,1,space,2.5362520218,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
5,ʰp,chamber pot,n,cvcc,o,labial,stop,cc,kopp,kʰoʰp,yes,0,5,5,4,space,2.4031159878,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
5,ʰp,chamber pot,n,cvcc,o,labial,stop,cc,kopp,kʰoʰp,yes,0,5,5,4,space,2.2364318371,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
5,ʰp,chamber pot,n,cvcc,o,labial,stop,cc,kopp,kʰoʰp,yes,0,5,5,4,space,2.4861571789,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
55,p,navel,n,cvccv,a,labial,stop,ccv,nafla,napla,no,0,6,6,53,space,2.184885025,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
55,p,navel,n,cvccv,a,labial,stop,ccv,nafla,napla,no,0,6,6,53,space,2.3043711186,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
55,p,navel,n,cvccv,a,labial,stop,ccv,nafla,napla,no,0,6,6,53,space,2.8201160431,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,7,7,51,space,2.6867909432,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,7,7,51,space,2.486727953,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,7,7,51,space,2.6521570683,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
52,l,foam,v,vvccv,iu,coronal,lateral,ccv,ólga,oulka,no,0,8,8,50,space,2.5872700214,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
52,l,foam,v,vvccv,iu,coronal,lateral,ccv,ólga,oulka,no,0,8,8,50,space,2.4699430466,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
52,l,foam,v,vvccv,iu,coronal,lateral,ccv,ólga,oulka,no,0,8,8,50,space,2.4353089333,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
24,ʰt,wet,adj,cvvcc,o,coronal,stop,cc,vott,voʰt,yes,0,9,9,21,space,2.6533298492,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
24,ʰt,wet,adj,cvvcc,o,coronal,stop,cc,vott,voʰt,yes,0,9,9,21,space,2.770802021,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
