"cond.no","word","ipa","c1phonation","vowel","height","backness","roundness","consonant2","manner","place","aspiration","syllables","syl_structure","gloss","pos","comp","contx"
1,"kokk","kʰoʰk","aspirated","o","mid","back","round","ʰk","stop","velar","yes","mono","cvcc","cook","noun","c","cc"
2,"gogg","kokk","non-aspirated","o","mid","back","round","kk","stop","velar","no","mono","cvcc","beak","noun","c","cc"
3,"dökk","tœʰk","non-aspirated","œ","mid","front","round","ʰk","stop","velar","yes","mono","cvcc","dark","adjective","c","cc"
4,"dögg","tœkk","non-aspirated","œ","mid","front","round","kk","stop","velar","no","mono","cvcc","dew","noun","c","cc"
5,"kopp","kʰoʰp","aspirated","o","mid","back","round","ʰp","stop","labial","yes","mono","cvcc","chamber pot","noun","c","cc"
6,"kubb","cʰʏpp","aspirated","ʏ","high","front","round","pp","stop","labial","no","mono","cvcc","block of wood","noun","c","cc"
7,"vítt","viʰt","voiced","i","high","front","unrounded","ʰt","stop","coronal","yes","mono","cvcc","far and wide","adverb","c","cc"
8,"vídd","vitt","voiced","i","high","front","unrounded","tt","stop","coronal","no","mono","cvcc","width","noun","c","cc"
9,"þítt","θiʰt","voiceless","i","high","front","unrounded","ʰt","stop","coronal","yes","mono","cvcc","thaw","verb","c","cc"
10,"þíddi","θittɪ","voiceless","i","high","front","unrounded","tt","stop","coronal","no","di","cvccv","thaw","verb","c","cc"
11,"fætt","faiʰt","voiceless","ai","diphthong","front","unrounded","ʰt","stop","coronal","yes","mono","cvvcc","feed","verb","c","cc"
12,"fæddi","faittɪ","voiceless","ai","diphthong","front","unrounded","tt","stop","coronal","no","di","cvvccv","feed","verb","c","cc"
13,"ýtt","iʰt",,"i","high","front","unrounded","ʰt","stop","coronal","yes","mono","vcc","push","verb","c","cc"
14,"ydd","ɪtt",,"ɪ","high","front","unrounded","tt","stop","coronal","no","mono","vcc","sharpen","verb","c","cc"
15,"ótt","ouʰt",,"ou","diphthong","back","round","ʰt","stop","coronal","yes","mono","vvcc","point","noun","c","cc"
16,"odd","ott",,"o","mid","back","round","tt","stop","coronal","no","mono","vcc","fast","adverb","c","cc"
19,"sets","sets","voiceless","e","mid","front","unrounded","s","stop","coronal","no","mono","cvcc","sediment","noun","x","cx"
20,"sett","seʰt","voiceless","e","mid","front","unrounded","ʰt","stop","coronal","yes","mono","cvcc","put","verb","x","cc"
21,"feits","feits","voiceless","ei","diphthong","front","unrounded","s","stop","coronal","no","mono","cvvcc","fat","adjective","x","cx"
22,"feitt","feiʰt","voiceless","ei","diphthong","front","unrounded","ʰt","stop","coronal","yes","mono","cvvcc","fat","adjective","x","cc"
23,"vots","vots","voiced","o","mid","back","round","s","stop","coronal","no","mono","cvcc","wet","adjective","x","cx"
24,"vott","voʰt","voiceless","o","mid","back","round","ʰt","stop","coronal","yes","mono","cvcc","wet","adjective","x","cc"
25,"takka","tʰaʰka","aspirated","a","low","front","unrounded","ʰk","stop","velar","yes","di","cvccv","key","noun","c","cc"
26,"kagga","kʰakka","aspirated","a","low","front","unrounded","kk","stop","velar","no","di","cvccv","barrel","noun","c","cc"
27,"detta","teʰta","non-aspirated","e","mid","front","unrounded","ʰt","stop","coronal","yes","di","cvccv","fall","verb","c","cc"
28,"gedda","cetta","non-aspirated","e","mid","front","unrounded","tt","stop","coronal","no","di","cvccv","pike","noun","c","cc"
29,"kamp","kʰam̥p","aspirated","a","low","front","unrounded","m̥","nasal","labial","yes","mono","cvnc","moustache","noun","c","cc"
30,"kamb","kʰamp","aspirated","a","low","front","unrounded","m","nasal","labial","no","mono","cvnc","comb","noun","c","cc"
31,"punt","pʰʏn̥t","aspirated","ʏ","high","front","round","n̥","nasal","coronal","yes","mono","cvnc","decoration","noun","c","cc"
32,"pund","pʰʏnt","aspirated","ʏ","high","front","round","n","nasal","coronal","no","mono","cvnc","pound","noun","c","cc"
33,"kembt","cʰem̥t","aspirated","e","mid","front","unrounded","m̥","nasal","labial","yes","mono","cvcc","comb","verb","c","cc"
34,"kembdi","cʰemtɪ","aspirated","e","mid","front","unrounded","m","nasal","labial","no","di","cvncv","comb","verb","c","cc"
35,"kampa","kʰam̥pa","aspirated","a","low","front","unrounded","m̥","nasal","labial","yes","di","cvncv","moustache","noun","c","cc"
36,"kamba","kʰampa","aspirated","a","low","front","unrounded","m","nasal","labial","no","di","cvncv","comb","noun","c","cc"
37,"kempa","cʰem̥pa","aspirated","e","mid","front","unrounded","m̥","nasal","labial","yes","di","cvncv","hero","noun","c","cc"
38,"kemba","cʰempa","aspirated","e","mid","front","unrounded","m","nasal","labial","no","di","cvncv","comb","verb","c","cc"
39,"punta","pʰʏn̥ta","aspirated","ʏ","high","front","round","n̥","nasal","coronal","yes","di","cvncv","decoration","noun","c","cc"
40,"punda","pʰʏnta","aspirated","ʏ","high","front","round","n","nasal","coronal","no","di","cvncv","pound","noun","c","cc"
41,"vanta","van̥ta","voiced","a","low","front","unrounded","n̥","nasal","coronal","yes","di","cvncv","want","verb","c","cc"
42,"vanda","vanta","voiced","a","low","front","unrounded","n","nasal","coronal","no","di","cvncv","do st carefully","verb","c","cc"
43,"fínn","fitn̥","voiceless","i","high","front","unrounded","t","stop","coronal","yes","mono","cvcn","smart","adjective","x","cx"
44,"kinn","cʰɪnn","aspirated","i","high","front","unrounded","nn","geminate","coronal","no","mono","cvnn","cheek","noun","x","cx"
45,"duld","tʏlt","non-aspirated","ʏ","high","front","round","l","lateral","coronal","no","mono","cvlc","complex","adjective","c","cc"
46,"dult","tʏl̥t","non-aspirated","ʏ","high","front","round","l̥","lateral","coronal","yes","mono","cvlc","reticent","adjective","c","cc"
47,"gelta","cel̥ta","non-aspirated","e","mid","front","unrounded","l̥","lateral","coronal","yes","di","cvlcv","bark","verb","c","cc"
48,"gelda","celta","non-aspirated","e","mid","front","unrounded","l","lateral","coronal","no","di","cvlcv","castrate","verb","c","cc"
49,"orka","or̥ka",,"o","mid","back","round","r̥","rhotic","coronal","yes","di","vrcv","energy","noun","c","cc"
50,"orga","orka",,"o","mid","back","round","r","rhotic","coronal","no","di","vrcv","scream","noun","c","cc"
51,"mjólka","mjoul̥ka","voiced","ou","diphthong","back","round","l̥","lateral","coronal","yes","di","ccvvccv","milk","verb","c","cc"
52,"ólga","oulka","no","ou","diphthong","back","round","l","lateral","coronal","no","di","vlccv","foam","verb","c","cc"
53,"hefna","hepna","voiceless","e","mid","front","unrounded","p","stop","labial","no","di","cvcnv","avenge","verb","x","cx"
54,"vopna","voʰpna","voiced","o","mid","back","round","ʰp","stop","labial","yes","di","cvcnv","arm","verb","x","cx"
55,"nafla","napla","voiced","a","low","front","unrounded","p","stop","labial","no","di","cvccv","navel","noun","x","cx"
56,"japla","jaʰpla","voiced","a","low","front","unrounded","ʰp","stop","labial","yes","di","cvccv","munch","verb","x","cx"
57,"kafli","kʰaplɪ","aspirated","a","low","front","unrounded","p","stop","labial","no","di","cvccv","part","noun","x","cx"
58,"kapli","kʰaʰplɪ","aspirated","a","low","front","unrounded","ʰp","stop","labial","yes","di","cvccv","cable","noun","x","cx"
59,"tefla","tʰepla","aspirated","e","mid","front","unrounded","p","stop","labial","no","di","cvccv","play chess","verb","x","cx"
60,"tipla","tʰɪʰpla","aspirated","ɪ","high","front","unrounded","ʰp","stop","labial","yes","di","cvccv","tiptoe","verb","x","cx"
